"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /RightsWeb/myrights/rest/getNewCardBranch?cd=1769567982182 HTTP/1.1"" 200 332 27 ""https://abc.example.com//myrights/c"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/css/Custom_font-awesome.css HTTP/1.1"" 200 5016 17 ""https://abc.example.com//index.html?cd=1769567992402"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/css/build.css HTTP/1.1"" 200 1120 15 ""https://abc.example.com//index.html?cd=1769567992402"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /leaverest/rest/lwpBatch HTTP/1.1"" 200 25 322 ""https://abc.example.com//index.html?cd=1769567992402"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/images/lerf_default.png HTTP/1.1"" 200 3127 9 ""https://abc.example.com//appResources/css/leaveReqList.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/img/please_note_icon_success.png HTTP/1.1"" 200 3739 6 ""https://abc.example.com//index.html?cd=1769567992402"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/fonts/Gess-Claims-Icons.ttf?r0xhyt HTTP/1.1"" 200 17024 21 ""https://abc.example.com//appResources/css/clm-icons.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /favicon.ico HTTP/1.1"" 204 - 0 ""https://abc.example.com//public/saml2sso?SAMLRequest=fZJPb8IwDMW%2FSpV7%2F4XCSkSL0BgSErvA2GG3tLgQqU262O3Yt18oQmKTxjHxe7bfT57Nz03t9WBRGZ2xOIiYB7o0B6WPGdu%2FrfyUzfMZyqZuxaKjk97CZwdInvNpFEMhY53VwkhUKLRsAAWVYrd43QgeRKK1hkxpauYtEMGSG%2FRsNHYN2B3YXpWw324ydiJqUYShgt7UPZRGE2gKuppUI0mdAw0U7kpjmxd9VBrWrm4rWUL4X1vmLd2iSksast0GSJdCtu2fzrKqvqDAqxPDtitqVYaXeBzRMG%2B9zJisEj5K4sovojTyEz6e%2BGlRJX5SFSMOMedTOXVKxM5thyQ1ZYxHfOJHsc%2FTt4iL0VSM0yBOnz6Y936D7iCxK2IxeO0d28do5S0581YOjKTH8suPOvjVIBWOrqJvlj8CPgvv1sqvr993kP8A"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/lib/js/json2.js HTTP/1.1"" 200 5524 9 ""https://abc.example.com//Login/goBackToTSApproval?menuID=2"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/lib/js/jquery.form.min.js HTTP/1.1"" 200 6130 8 ""https://abc.example.com//Login/goBackToTSApproval?menuID=2"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/lib/js/html2canvas.min.js HTTP/1.1"" 200 19568 17 ""https://abc.example.com//Login/goBackToTSApproval?menuID=2"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /Ess/rest/login/bridge HTTP/1.1"" 200 524 101 ""https://abc.example.com//login"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/img/Sick3_S.png HTTP/1.1"" 200 3703 9 ""https://abc.example.com//index.html?cd=1769567988460"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/img/copy-icon.png HTTP/1.1"" 200 1076 9 ""https://abc.example.com//index.html?cd=1769567987084"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
